idade,cpf,rg,altura,peso
63,07915438204,81085837,187,69
42,10746295316,73759384,193,50
37,81497035279,56678224,155,81
48,17923456828,37531834,173,90
87,09614352833,24051705,181,51
84,05986324170,87802822,161,74
79,93867240574,25793175,158,51
47,72450638938,61448723,197,87
78,20834765900,71343768,161,98
60,31579046800,52688097,168,94
21,86590437157,16076530,200,67
37,05437198205,85635941,153,78
72,59430128698,32754888,184,54
69,07163482507,19577650,154,85
52,72091564885,36193277,160,73
20,73251098659,15547790,190,66
70,32468159764,27556300,160,78
61,36792104850,59322966,162,50
76,84392650774,96957499,179,86
65,36850912470,43709470,174,80
88,97450821397,70948766,180,83
89,49816327031,64698634,150,78
84,27148503914,15581215,176,64
87,73491086213,65393492,172,88
46,48012973669,11684388,183,54
75,71586302930,42602333,171,98
50,61532874090,19488122,178,57
88,23804576974,41194507,184,74
44,68259134098,21867313,152,88
29,47086139203,69723618,162,63
38,36791245891,64834687,152,83
73,95172864300,90457960,159,78
50,76418309510,50175789,197,64
80,57906148258,64011828,177,85
22,45017693866,94705907,168,96
23,08513276995,72603511,197,74
64,05267814326,55618939,153,85
51,78064291585,81203148,156,84
38,14027965876,14665576,175,73
55,64712890304,30694410,190,62
72,60724581901,75078329,186,86
30,23415067980,50154171,168,95
80,54908316775,45100699,176,50
65,81496527011,15248870,177,94
54,46923507847,39318938,173,97
65,35247609107,74509306,182,77
71,04689173222,11190425,175,92
58,85496712076,60241063,157,97
37,47380261517,31114244,153,74
45,54712689030,32138265,150,71
44,36091547216,72392274,182,75
22,05876329177,83356485,153,68
76,87491235646,44543120,198,59
77,98702153602,59878529,190,65
23,29634758100,82050860,190,71
51,92873614013,48513917,199,97
68,08571243905,60769300,178,96
61,61324987022,68726228,161,89
58,56248130906,72970386,183,51
40,31802547932,87736779,150,91
33,46057932161,18620998,152,97
73,26457308929,25239492,199,67
67,36582014951,81713872,162,52
83,57830291659,59766762,153,68
47,80279453132,69250547,156,56
58,79215840630,63363140,171,91
62,37695410225,31674975,198,98
74,15703482607,94568230,163,77
46,20853167940,15928375,158,51
75,93275061461,72877559,172,77
28,15874609202,89094116,200,63
60,47805139601,35957346,195,67
45,80127963413,78377681,193,72
48,18967305230,68215920,198,73
72,07982635121,19323388,154,86
72,56897240176,21501390,186,70
85,20683147544,32574373,157,67
24,60273895168,90651263,196,75
81,17592834014,56427020,164,78
75,14036758217,77541524,190,94
